Timestamp,Sender Redacted,Recipients Redacted,Filters,SMS Message Type,Preview
XX/XX/2015  09:47:54,1970XXXX531,1913XXXX180,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were chosen to test the galaxy s4 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  10:22:08,1347XXXX195,1913XXXX039,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Singles in YOUR AREA:  more matches here: http:// REDACTED/CGWYO Reply STOP to unsubscribe
XX/XX/2015  08:34:07,1908XXXX554,1913XXXX337,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were chosen to test the galaxy s4 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  09:26:15,1702XXXX283,1913XXXX317,Blocking Filter F,SMPP-AO,"Hi Devin, Do you have 2 or more outstanding payday loans? We can help you get rid of them. Call XXX-XXX-5445 This is not a loan program. Reply STOP 2Quit"
XX/XX/2015  10:34:58,1949XXXX828,1913XXXX136,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Iphone 6 before its released and keep it. Enter your info at www.REDACTED.com to get it now
XX/XX/2015  10:20:12,1858XXXX962,1913XXXX231,Blocking Filter F,SMPP-AO,"Do you have 2 or more payday Loans become DEBT Free. Eliminate Renewal Fees, Cut Your REDACTEDnts in half. Call XXX-XXX-XXXX. Rply Stop 2 quit"
XX/XX/2015  10:53:30,1347XXXX218,1913XXXX874,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/GOLnf Reply STOP to unsubscribe
XX/XX/2015  08:46:01,1612XXXX860,1913XXXX806,"Blocking Filter F , Blocking Filter U",SMPP-AO,Short on cash? We got you covered! Get approved for CASH in 10 min.100% Secure Bad credit -OK! Grab your CASH NOW! www. REDACTED/cash to opt out reply stop
XX/XX/2015  09:29:33,1702XXXX350,1914XXXX477,Blocking Filter F,SMPP-AO,Feature Film Starring Johnny Depp is casting Main Characters & extras! Call  REDACTED ASAP! Pays up to $842/day! REDACTED-Reply STOP to opt out
XX/XX/2015  09:02:17,1801XXXX622,1914XXXX257,Blocking Filter F,SMPP-AO,"Robert, its Beth with REDACTED. Let me help you with your goal: home, car, lower interest rate, etc. Call me at XXX-XXX-3554  Txt STOP to quit"
XX/XX/2015  10:50:29,1385XXXX977,1914XXXX823,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Galaxy S4 and keep it before its released. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  09:30:09,1413XXXX958,1914XXXX680,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were chosen to test the galaxy s4 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  10:57:55,1347XXXX932,1914XXXX194,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at XX View them! http:// REDACTED/70LE4 Reply STOP to unsubscribe
XX/XX/2015  09:15:52,1702XXXX344,1914XXXX928,Blocking Filter F,SMPP-AO,Feature Film Starring Johnny Depp is casting Main Characters & extras! Call  REDACTED ASAP! Pays up to $842/day! REDACTED-Reply STOP to opt out
XX/XX/2015  08:55:13,1774XXXX708,1914XXXX966,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were chosen to test the galaxy s4 before its released and keep it. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  09:55:28,5024XXXX170,1914XXXX664,Blocking Filter F,SMPP-AO,Felicidades CellCo Y AZTECA AMERICA TE INFORMA QUE GANASTES. UN TOYOTA TUNDRA Y $35.000 MIL DOLARES PARA MAS INFORMASIN AL TEL. 011XXXXXXXX092.
XX/XX/2015  09:00:27,5024XXXX170,1914XXXX991,Blocking Filter F,SMPP-AO,Felicidades CellCo Y AZTECA AMERICA TE INFORMA QUE GANASTES. UN TOYOTA TUNDRA Y $35.000 MIL DOLARES PARA MAS INFORMASIN AL TEL. 011XXXXXXXX092.
XX/XX/2015  09:03:26,5024XXXX170,1914XXXX991,Blocking Filter F,SMPP-AO,Felicidades CellCo Y AZTECA AMERICA TE INFORMA QUE GANASTES. UN TOYOTA TUNDRA Y $35.000 MIL DOLARES PARA MAS INFORMASIN AL TEL. 011XXXXXXXX092.
XX/XX/2015  09:05:02,5024XXXX170,1914XXXX991,Blocking Filter F,SMPP-AO,Felicidades CellCo Y AZTECA AMERICA TE INFORMA QUE GANASTES. UN TOYOTA TUNDRA Y $35.000 MIL DOLARES PARA MAS INFORMASIN AL TEL. 011XXXXXXXX092.
XX/XX/2015  09:33:07,1702XXXX401,1914XXXX384,Blocking Filter F,SMPP-AO,Feature Film Starring Johnny Depp is casting Main Characters & extras! Call  REDACTED ASAP! Pays up to $842/day! REDACTED-Reply STOP to opt out
XX/XX/2015  10:57:56,1347XXXX943,1914XXXX915,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Wow!  members flirted with you at REDACTED View them! http:// REDACTED/iJ4to Reply STOP to unsubscribe
XX/XX/2015  10:57:01,1240XXXX679,1914XXXX383,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Galaxy S4 and keep it before its released. Enter your info at www.sendREDACTED.com to get it now
XX/XX/2015  09:12:18,1702XXXX397,1914XXXX800,Blocking Filter F,SMPP-AO,"Hi Andrew, Do you have 2 or more outstanding payday loans? We can help you get rid of them. Call XXX-XXX-5445 This is not a loan program. Reply STOP 2Quit"
XX/XX/2015  09:40:04,1978XXXX699,1914XXXX122,Blocking Filter U,SMPP-AO,You were chosen to test the Samsung Galaxy s4 before its released and keep it. Go to www.sendREDACTED.com to get it now
XX/XX/2015  09:54:09,1626XXXX315,1914XXXX152,Blocking Filter F,SMPP-AO,Do you have 2 or more outstanding cash advances? We can help get rid of them. Call XXXXXXXXXX This is not a loan program Reply NO to end
XX/XX/2015  09:05:12,1904XXXX034,1914XXXX152,"Blocking Filter F , Blocking Filter U",SMPP-AO,"Hi ANNABELLE, Get me My Money up to $1000. www.REDACTED.com Reply STOP 2Quit"
XX/XX/2015  09:17:42,1413XXXX007,1914XXXX540,"Blocking Filter F , Blocking Filter U",SMPP-AO,You were picked to test the Iphone 6 before its released and keep it. Enter your info at www.REDACTED.com to get it now
XX/XX/2015  10:01:20,1347XXXX030,1914XXXX270,Suspicious Filter R,SMPP-AO,Local  girls  found:  view their photos: http:// REDACTED/btCCs Reply STOP to unsubscribe
XX/XX/2015  10:10:35,1347XXXX738,1915XXXX216,"Blocking Filter F , Suspicious Filter R",SMPP-AO,Singles in YOUR AREA:  more matches here: http:// REDACTED/DQNk2 Reply STOP to unsubscribe
